Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input
233,-0.56305-0.56793i,-0.64389-0.64539i,0.49321+0.49656i,0.64585-0.48952i,-0.48787+0.48186i,0.48635+0.64788i,0.64783+0.63994i,-0.4936+0.64262i,0.48462+0.63747i,-0.48368-0.49482i,0.48451-0.6462i,0.64953+0.48699i,-0.49469-0.48613i,-0.64922-0.64673i,-0.64039-0.64245i,-0.63794-0.64058i,-0.63702-0.63721i,0.49218+0.49623i,0.64861-0.48312i,-0.4908-0.64958i,-0.64567-0.64185i,0.48898-0.64001i,0.64454+0.49419i,-0.49091+0.64787i,0.48019+0.63965i,0.64935+0.63771i,0.63574-0.49261i,-0.49205+0.48393i,-0.6461-0.48254i,0.48739-0.64674i,0.64911+0.49265i,-0.4932+0.64675i,-0.64572-0.49155i,0.492-0.64741i,0.64516+0.49253i,-0.48917-0.4865i,0.48304-0.64675i,0.65138+0.48906i,0.63644-0.48536i,-0.49563+0.48316i,0.48586-0.48688i,-0.48327-0.65107i,0.48731-0.64337i,-0.48202-0.64254i,-0.64556-0.63899i,-0.63899-0.6411i,-0.64035+0.48736i,0.49283-0.48475i,0.64727+0.48556i,-0.48935-0.48281i,-0.64748+0.48705i,-0.6378-0.48133i,-0.63846-0.64605i,0.49043-0.6392i,-0.48219-0.64141i,-0.64612-0.63959i,0.49187+0.49307i,0.64861+0.64741i,0.6386-0.49169i,-0.49333+0.48897i,0.49224+0.64977i,-0.48367+0.63934i,0.48446-0.49069i,0.64754+0.48771i,-0.48891+0.64658i,-0.64945+0.63831i,0.49514-0.4913i,-0.48137+0.48483i,-0.64855+0.6493i,0.49069+0.63874i,-0.48861-0.49207i,-0.64974-0.65002i,0.49225-0.64307i,0.64829+0.49162i,-0.49181-0.48407i,-0.65036+0.48144i,-0.63747+0.64685i,0.49273-0.49331i,0.64499+0.4863i,0.64074+0.64793i,-0.49504+0.63647i,0.48297-0.49414i,-0.48237+0.48371i,-0.64777+0.64722i,-0.63712-0.4891i,-0.64226+0.48421i,-0.64545-0.48751i,0.49288-0.64677i,0.64819+0.49205i,-0.49188-0.48097i,0.48428-0.65003i,-0.48569+0.49475i,-0.6478-0.48323i,0.49089-0.64667i,0.64876+0.4926i,0.63675-0.48853i,0.63673+0.48332i,-0.4912+0.64758i,-0.6507+0.64027i,0.49644-0.4919i
234,-0.25608-0.7587i,0.72565+0.65543i,-0.14449-0.14495i,-0.79789-0.79975i,-0.35488-0.86365i,0.22446-0.86144i,-0.72227-0.86104i,-0.35599+0.66036i,-0.28472-0.65117i,-0.78992-0.36145i,-0.35764+0.72946i,0.72968-0.65676i,-0.65392-0.35931i,0.14122+0.22338i,0.29343-0.21302i,-0.72682-0.79421i,0.14402-0.86518i,0.29506+0.65844i,-0.72742-0.14377i,0.14484-0.79834i,0.29264-0.35724i,-0.72702-0.28174i,0.65108-0.28914i,-0.14205-0.28631i,0.71739+0.7226i,-0.14753-0.6499i,0.2152-0.87014i,0.28859+0.1516i,-0.22114+0.80006i,0.72485-0.15273i,0.86305-0.79782i,-0.65921+0.15099i,0.14108+0.29452i,0.79472+0.79188i,0.35535-0.14929i,0.78692+0.21463i,-0.65776+0.80007i,-0.86637-0.15399i,0.657+0.72327i,-0.65015-0.14728i,0.14574-0.79991i,-0.21101+0.6583i,-0.28715-0.14149i,0.22275-0.79662i,0.79568-0.35474i,-0.15102-0.78654i,-0.7999+0.6574i,-0.86159+0.86991i,0.15278-0.65829i,-0.71608+0.14437i,-0.35867-0.21349i,-0.78721+0.719i,0.14564-0.14341i,0.79606-0.79781i,-0.15144-0.86382i,0.2141+0.15648i,0.28906+0.79758i,0.28649-0.65578i,-0.22438-0.36114i,-0.28541+0.22556i,-0.79717+0.79606i,0.15286+0.35718i,-0.72023+0.28184i,-0.35736+0.28611i,-0.78673-0.21836i,-0.86632+0.72344i,0.15329+0.86514i,0.79612-0.6552i,-0.1465-0.35731i,0.7189-0.79023i,0.86677+0.65851i,-0.15307-0.64456i,-0.29577-0.35708i,-0.28748-0.7902i,-0.28927+0.65663i,-0.29066-0.6492i,0.21872-0.86795i,-0.7228-0.35131i,-0.35872-0.79007i,-0.78749-0.35585i,0.65529-0.78863i,0.86733-0.35749i,-0.15686+0.7313i,0.21302-0.14881i,-0.71907-0.29484i,-0.86642-0.78904i,-0.85786-0.8622i,0.15504-0.85996i,-0.7196-0.34743i,-0.86541-0.28329i,0.1518-0.79378i,0.80033-0.86496i,-0.65796+0.15686i,0.65022+0.80191i,-0.64685+0.86645i,-0.36245-0.14998i,0.7305-0.79964i,0.86019-0.35612i,0.85712-0.28424i,0.86144+0.72403i
235,-0.61917-0.8654i,0.53246-0.24054i,-0.034309-0.62907i,-0.39082+0.038716i,0.073386-0.59822i,-0.1008+0.036661i,0.11093-0.10099i,0.88518+0.60124i,0.97847+0.95234i,0.73309-0.0070921i,0.44772-0.14468i,-0.078741+0.35484i,0.84585+0.17448i,0.73455+0.13911i,0.20143-0.5998i,0.13554-0.45346i,0.6315-0.91284i,-0.77743-0.98113i,0.49496-0.2332i,-0.52777-0.13484i,0.77245-0.38615i,0.73701+0.81504i,-0.29119+0.98365i,-0.18181+0.97777i,-0.38563+0.48175i,0.3203-0.5696i,-0.067843+0.77856i,-0.88619+0.49283i,-0.24171-0.077706i,0.85244-0.14053i,0.73698-0.88304i,-0.78918+0.49985i,0.0038191+0.95387i,0.14726-0.50165i,0.1373+0.52401i,0.88322+0.95071i,-0.49716+0.4848i,0.27814-0.32532i,-0.067887+0.56409i,0.60058+0.70314i,0.70208+0.4504i,0.94127-0.81814i,0.24049-0.49361i,-0.11581-0.65982i,0.8471-0.6984i,0.73916-0.20679i,0.69314-0.38698i,-0.53706+0.56579i,0.52857+0.70003i,0.70659+0.69551i,0.44765-0.53799i,0.17344-0.45809i,0.87755+0.077616i,0.98239+0.14297i,0.72646-0.84465i,0.20613-0.48758i,0.13494+0.32178i,-0.35333-0.06764i,-0.91759+0.10582i,-0.48697-0.10718i,-0.41274+0.60076i,-0.91168+0.94992i,0.25389-0.50499i,-0.31463+0.27659i,-0.91939+0.42527i,-0.23758+0.41817i,-0.37943+0.17196i,0.31971-0.60423i,0.17324+0.78268i,-0.84859-0.24615i,0.49733+0.31352i,0.95333+0.91648i,-0.25528+0.97831i,-0.67075+0.23961i,0.78323-0.11513i,-0.24879+0.10834i,-0.67402-0.59565i,-0.94645+0.53252i,-0.4841-0.523i,0.56796+0.037047i,-0.28354+0.88615i,0.064143-0.0034127i,-0.59801+0.84062i,0.043221+0.24706i,0.64198+0.13711i,-0.53182-0.60068i,0.28261-0.70378i,0.1801+0.78314i,0.87567+0.49285i,0.7367-0.56552i,0.93984+0.78047i,0.72909+0.99154i,0.6987+0.23604i,0.20445-0.60757i,0.14238+0.53647i,-0.6002+0.45775i,-0.94571+0.65931i,0.5021+0.20595i,-0.77008-0.85367i,0.0026746+0.74547i
236,0.75797-0.75765i,-0.15069+0.14887i,0.2109-0.72274i,-0.72242+0.14698i,0.14484-0.71565i,0.29111-0.86589i,-0.22341+0.65625i,-0.28843-0.14442i,0.72624-0.29155i,-0.65213-0.28729i,0.14215+0.21918i,0.28965-0.21493i,-0.21975+0.21832i,0.7249-0.21234i,-0.65406+0.72169i,-0.87224-0.65417i,-0.35275+0.14373i,0.22716+0.79937i,0.28902+0.35585i,-0.22077+0.28549i,0.21613+0.79274i,-0.21608-0.65771i,-0.28781-0.87338i,0.7242+0.65875i,0.86426+0.36138i,-0.15548-0.73133i,0.71828-0.36265i,-0.64986+0.22385i,-0.36367-0.2168i,-0.2799+0.7168i,0.21978+0.8672i,-0.72176+0.85977i,-0.35644-0.66179i,0.72997-0.86592i,-0.65279+0.15684i,0.14073-0.2149i,0.29165-0.79931i,-0.21718+0.65871i,-0.79303+0.8703i,0.65636+0.85861i,-0.64922+0.35416i,0.64759-0.72452i,0.866+0.14885i,-0.15663+0.29063i,0.72052+0.28859i,0.36164-0.21841i,-0.22989+0.72196i,0.21507-0.65425i,-0.21337+0.65079i,0.21512+0.86564i,0.79677-0.15391i,-0.14723+0.21157i,-0.79787-0.72043i,-0.35413-0.86828i,-0.28317+0.66618i,-0.28877-0.1477i,0.72457-0.79831i,0.86757+0.65964i,-0.15147+0.36072i,-0.80151-0.22141i,0.14847+0.21381i,0.80227-0.21634i,0.86104+0.21837i,0.35139-0.72426i,0.28233+0.6505i,0.28655+0.86658i,0.28384-0.65745i,-0.72808+0.64828i,0.65241-0.1399i,0.35795+0.71564i,0.79622+0.86029i,0.35634+0.34857i,-0.7314+0.78983i,0.14663+0.3523i,0.80248+0.28212i,0.86121-0.72258i,0.86276+0.14469i,0.35205-0.21525i,-0.22154-0.29546i,0.2181+0.22218i,-0.72178-0.7188i,0.14696+0.14659i,-0.71642-0.21076i,0.14676-0.79514i,-0.21303+0.65388i,-0.79477+0.36176i,-0.86138-0.22364i,0.65735+0.72455i,0.36367+0.36074i,-0.72766+0.79515i,-0.35976+0.86506i,0.2249+0.35121i,-0.72119+0.2824i,0.15283-0.72687i,0.79462-0.8676i,-0.15049-0.85863i,-0.79765+0.15558i,0.65648+0.7999i,0.36338+0.86515i,0.79185-0.66125i
237,0.25028-0.75782i,0.28529+0.14537i,-0.22027+0.29393i,-0.79548-0.73058i,-0.8605-0.36312i,-0.85856-0.28333i,-0.86199+0.22002i,-0.35487-0.72744i,0.72552-0.36132i,-0.6531+0.72967i,-0.86742+0.86482i,0.65711+0.35251i,0.36416+0.78521i,0.28258+0.86291i,-0.21429-0.65833i,0.2151-0.36221i,0.28856+0.22379i,-0.22172-0.72337i,0.71973-0.869i,0.35807+0.65866i,0.78635+0.36212i,-0.65634+0.79093i,0.64933-0.15058i,-0.65068-0.29214i,0.14341+0.7266i,-0.21273-0.65279i,-0.29117+0.64742i,0.72289+0.36289i,0.86567-0.22429i,-0.65724+0.21612i,-0.36044-0.21914i,0.73042+0.21487i,-0.14903+0.28954i,0.72079+0.7901i,-0.653+0.35621i,0.65043-0.2251i,0.36303+0.22074i,-0.22274-0.21288i,0.7203+0.2192i,-0.14659-0.72461i,0.21071+0.64593i,0.29076+0.36298i,-0.72715+0.28214i,0.65051-0.71782i,-0.14361-0.35889i,0.21078-0.78451i,0.79618-0.8611i,0.86203-0.3506i,0.85514-0.27853i,-0.15073-0.28725i,0.21315+0.73035i,-0.21448-0.14681i,0.2155-0.29068i,0.28852-0.2877i,-0.22141+0.21835i,0.72156+0.79695i,-0.14659-0.65923i,0.72096-0.36357i,-0.15042-0.28163i,-0.80025-0.29033i,0.65577-0.7926i,0.35943-0.86444i,0.28507+0.65955i,-0.7257+0.86881i,0.14633-0.66217i,0.29303-0.87255i,-0.21779+0.15408i,0.22103-0.20997i,0.79807+0.21455i,0.35728-0.21581i,0.2848+0.21831i,0.79646-0.21535i,-0.65825+0.72374i,0.14173+0.35831i,0.79821-0.73158i,0.8617+0.15084i,-0.15023+0.29129i,-0.29245-0.21733i,0.72571+0.21473i,-0.65212-0.72146i,0.13786+0.6479i,0.80457+0.8731i,0.86151-0.65769i,0.35388-0.87362i,0.2822-0.8534i,-0.7246-0.35908i,-0.86547-0.78719i,-0.86125+0.15034i,-0.85822-0.21275i,0.15424-0.29065i,-0.71936-0.2859i,0.1438-0.28558i,-0.72181-0.79438i,-0.35693+0.65354i,0.22634-0.14099i,0.79699+0.21737i,-0.6577-0.21466i,0.64951+0.21183i,-0.64949-0.72142i,-0.36283-0.8643i
238,0.56754+0.5661i,-0.48844-0.49172i,-0.64792-0.64689i,-0.63612+0.49175i,-0.63243+0.64817i,0.49196+0.64248i,0.64977-0.49374i,-0.48928+0.48432i,0.48108-0.4846i,0.64855+0.48582i,0.6376-0.48341i,-0.48858-0.64727i,0.4819-0.64291i,-0.48035+0.49187i,0.48194-0.48529i,-0.48354-0.64362i,0.48705+0.49389i,0.64689-0.48341i,-0.49587-0.64733i,-0.64773-0.64338i,0.49324-0.64247i,0.64655-0.63749i,-0.4927-0.63884i,-0.64185-0.63989i,0.49216-0.63768i,0.64435+0.49099i,0.63875-0.4846i,-0.49239+0.48514i,-0.64372+0.64603i,-0.63592-0.49405i,0.49152+0.48091i,-0.48376+0.64534i,0.4842+0.64004i,-0.48575+0.63882i,0.4821-0.48992i,-0.48488+0.48621i,-0.64958+0.64935i,-0.64028+0.63756i,-0.64584+0.63938i,-0.63898-0.49136i,0.48881-0.64787i,0.65033-0.64128i,0.63871-0.63806i,-0.49276+0.49042i,0.48172+0.65036i,-0.48788-0.48967i,-0.64835-0.64853i,0.49706+0.49204i,0.64703-0.48817i,0.64257+0.48351i,-0.49468-0.48662i,0.48563+0.48454i,0.6468+0.64445i,-0.48942+0.64384i,0.48411-0.48859i,-0.48364+0.48435i,0.48555+0.648i,-0.48524-0.49193i,0.48214-0.64597i,0.64506+0.4944i,-0.49358-0.48569i,-0.6459+0.48287i,-0.64023+0.64903i,-0.63776+0.63538i,0.49355-0.49091i,0.64534+0.48625i,0.63617-0.47815i,0.63859+0.48159i,0.63554+0.64531i,-0.493-0.49339i,0.48312+0.48415i,-0.48211+0.65036i,0.48296+0.63534i,-0.48216-0.493i,0.48825+0.48469i,-0.48565+0.64775i,0.48452+0.64339i,0.64578+0.64025i,-0.49053+0.6411i,0.48489+0.63953i,0.649+0.63844i,-0.49371-0.49115i,0.48892+0.47976i,0.64624+0.64716i,0.63661-0.4931i,0.64174-0.6501i,-0.49181-0.64104i,0.48496-0.64223i,0.64594+0.48865i,-0.49492+0.6482i,-0.64656-0.49109i,-0.64042+0.48423i,0.49471-0.48574i,-0.48653-0.64501i,-0.64542+0.49445i,-0.63759+0.6483i,0.48996+0.63823i,0.6481-0.49288i,0.63691+0.48505i,0.6403-0.48476i
239,-0.11613-0.86537i,0.10949-0.24312i,-0.10783-0.8771i,0.59654-0.23957i,0.20757+0.85297i,0.62951+0.98406i,0.70344+0.48294i,-0.29177-0.32038i,0.80774+0.81118i,-0.008047+0.98576i,0.10349+0.48293i,-0.84463-0.81785i,-0.49122-0.7368i,0.32217-0.69401i,-0.81161-0.44826i,-0.4932-0.17634i,-0.66005+0.11031i,0.78047+0.63749i,0.74669-0.28459i,-0.045824-0.67091i,0.10278-0.45516i,0.87828+0.56943i,0.49057+0.46031i,0.91068-0.3243i,-0.0061738-0.67129i,-0.89105+0.29033i,-0.24007+0.91897i,-0.62695+0.24083i,-0.20463-0.60689i,-0.87588+0.28349i,-0.98287-0.56448i,0.0067502-0.95032i,0.39608+0.25508i,-0.31981+0.67295i,0.075481+0.45358i,0.88173-0.32716i,-0.25249+0.56406i,0.31512+0.94665i,0.17884-0.75468i,0.13857+0.49257i,0.38868+0.95631i,0.17264+0.48193i,-0.10838+0.66077i,-0.63708+0.9446i,-0.70355+0.98031i,0.78367-0.50419i,0.7416+0.77021i,-0.78618-0.4937i,0.25053+0.28319i,-0.56233-0.31496i,0.036073-0.67304i,0.88114+0.041051i,0.73538+0.14323i,0.69877-0.1076i,-0.041936+0.59979i,-0.39263-0.78231i,-0.6653+0.74358i,0.53625-0.73944i,-0.28125-0.0001777i,-0.91743-0.10275i,0.25643+0.35174i,0.92352+0.17431i,0.98014-0.84806i,-0.0092303-0.24184i,0.84036-0.1292i,0.98572+0.10788i,0.97336+0.87979i,-0.50485+0.98109i,0.77446+0.73i,0.98398+0.94249i,-0.75298-0.25812i,-0.49077+0.3112i,0.82079-0.31426i,-0.0033884-0.91362i,0.10021-0.73311i,0.14306+0.2902i,0.88047+0.42191i,0.49129-0.32429i,-0.32681-0.17764i,0.80867-0.38736i,0.73679-0.17853i,-0.042271-0.87407i,0.59364-0.48809i,-0.77873+0.32379i,-0.49324-0.81049i,0.81738-0.24544i,-0.25333+0.11316i,0.069328-0.10587i,-0.84686-0.13987i,-0.73691+0.35521i,-0.69579+0.67059i,0.77936+0.9477i,0.98936-0.5048i,0.23449-0.70906i,-0.85082-0.69563i,0.74681-0.94174i,-0.73853+0.25596i,-0.98852-0.80297i,0.25976+0.74196i,0.42341-0.49057i
240,-0.24988+0.25225i,-0.28672-0.21906i,0.72357+0.21454i,-0.65488+0.79149i,-0.86965+0.35424i,0.66115+0.78619i,0.86925+0.86268i,-0.66181+0.85731i,-0.87119-0.1542i,-0.86237+0.71888i,-0.35476+0.86277i,0.22314-0.65675i,-0.22121+0.64978i,0.21861+0.8644i,0.28811+0.85644i,0.28302+0.35417i,0.79478-0.22197i,-0.15224+0.7228i,-0.29635+0.36192i,0.217-0.22307i,-0.72102+0.72757i,0.14679-0.14708i,0.79973+0.20831i,0.86396+0.29157i,0.35085+0.28415i,-0.72776+0.7918i,0.14554-0.14969i,0.80163-0.29188i,-0.15295-0.79101i,0.71572-0.35451i,-0.65314-0.28011i,0.1458+0.22083i,-0.72121-0.72466i,-0.35918+0.14252i,0.72924-0.71849i,0.35682+0.14762i,-0.222+0.29223i,0.21437+0.79295i,0.79566-0.14896i,0.35699+0.72141i,0.28624-0.14595i,0.7914+0.21479i,0.35624+0.79101i,-0.72548+0.35459i,0.65363+0.78485i,-0.64638+0.86265i,-0.87283-0.15433i,0.15231-0.29396i,-0.72241+0.21853i,-0.3633-0.72524i,-0.28242+0.14239i,-0.28476-0.72055i,0.72713-0.35811i,0.86742-0.28337i,0.35518-0.28658i,-0.72784+0.72448i,-0.35897-0.65273i,0.2255+0.64918i,0.79312-0.64858i,0.35522-0.36311i,-0.22246+0.2242i,-0.79686+0.29017i,0.1534-0.22026i,-0.21267+0.21618i,-0.28893-0.71972i,0.21965-0.36403i,-0.71901-0.79179i,0.65166+0.65419i,-0.14535+0.86972i,-0.29381+0.34852i,-0.28323+0.28318i,0.72717-0.21721i,-0.14675-0.28749i,-0.8+0.21956i,-0.85717+0.79497i,0.66067+0.35461i,0.36135+0.78746i,0.27957-0.14852i,0.29086+0.21164i,0.78987-0.21568i,0.35641+0.72349i,0.78734-0.65382i,-0.14941+0.14108i,0.21378-0.71911i,0.28935-0.36023i,0.79103+0.22247i,-0.65745-0.72148i,-0.86916+0.14816i,-0.8576-0.71794i,0.15401+0.6527i,-0.71861-0.64637i,-0.86593+0.14213i,0.15603-0.21181i,-0.21457+0.72545i,0.21547-0.65193i,0.29317+0.14506i,-0.21965-0.71973i,0.72142-0.86357i,0.86438+0.65789i,0.85923+0.86503i
241,0.61851+0.86275i,0.6984+0.97889i,-0.78472+0.23829i,0.24713+0.38236i,0.1792-0.071331i,0.87891-0.63671i,-0.0034169-0.20776i,-0.14724-0.87802i,0.10685-0.73282i,0.38651+0.78377i,-0.32046-0.24803i,0.31249-0.43266i,-0.32067-0.41859i,-0.17584+0.32432i,-0.3866-0.066663i,0.56223+0.35161i,0.70598+0.42095i,0.69871-0.81454i,-0.53199-0.24544i,-0.95626+0.35832i,0.25838-0.57093i,-0.80768-0.95142i,-0.98812-0.23995i,-0.23665-0.13321i,0.60694-0.14111i,-0.77603+0.84778i,-0.98565+0.49047i,-0.9754-0.081961i,-0.48279+0.84399i,0.07937-0.49562i,-0.84341-0.70723i,-0.98093-0.45299i,0.75004+0.81612i,-0.24543+0.24656i,-0.42504+0.1391i,-0.17427+0.14178i,0.84798-0.35415i,0.24301+0.81463i,-0.11215-0.74258i,-0.38272+0.74261i,-0.9156-0.24531i,0.0063887-0.18212i,-0.84228-0.88091i,0.4982+0.74551i,-0.52525-0.24605i,0.5272+0.31553i,-0.52747+0.91978i,0.034143+0.98075i,0.63543+0.97093i,-0.28313+0.98032i,0.065387+0.72813i,-0.35317-0.047777i,0.3182+0.34908i,0.66758-0.8131i,-0.038469-0.98742i,-0.63846-0.98143i,-0.94838+0.50329i,0.50002+0.21331i,0.95871+0.63045i,-0.011291-0.53143i,0.35063-0.70614i,-0.56373-0.70271i,0.03211+0.53716i,0.3916-0.52855i,-0.068635-0.45769i,-0.6376-0.66505i,0.28609+0.53565i,0.42042+0.21212i,-0.56801+0.13643i,0.77542-0.35443i,0.98952+0.072046i,0.73039-0.35084i,0.94416-0.9142i,-0.74872-0.23957i,0.2483-0.8706i,0.1795-0.48865i,-0.36062-0.41724i,-0.66524+0.31866i,-0.20213+0.914i,0.84866+0.97716i,0.49173-0.75066i,-0.8204-0.49641i,0.49838+0.57221i,-0.035107-0.77684i,0.84232+0.49345i,-0.74745+0.21925i,-0.49631-0.60571i,0.57468-0.95004i,-0.2841+0.50408i,0.80894+0.70611i,-0.0023318+0.69956i,-0.14447+0.94686i,0.6004+0.73549i,-0.77752-0.29029i,-0.73826-0.67783i,0.042421+0.040166i,-0.10251+0.14678i,-0.63615+0.63436i,0.039367+0.95043i,0.63649-0.50049i
242,0.56561+0.5637i,-0.48928-0.48531i,-0.64618+0.48071i,0.49396-0.48776i,-0.48106-0.64961i,0.48447-0.64274i,0.64728-0.63941i,-0.49661+0.49105i,0.48419-0.48791i,0.64549+0.48447i,0.64212-0.48616i,-0.48876-0.64857i,-0.64455-0.64067i,0.49365+0.49481i,-0.48374-0.48435i,0.48314+0.48747i,0.65032-0.48287i,-0.48994+0.48153i,-0.65039+0.64961i,-0.64178+0.64239i,0.49595-0.49386i,-0.48107-0.64434i,-0.64832+0.49299i,0.4888-0.48512i,0.64761+0.4822i,-0.49154+0.64741i,0.48719+0.63951i,-0.48737-0.48926i,-0.6487-0.64405i,0.49061-0.6421i,0.64088-0.63722i,-0.49345-0.6414i,-0.64623+0.49266i,-0.64355+0.64454i,-0.64312+0.63703i,-0.63752-0.49068i,-0.63626-0.64731i,-0.63957-0.63673i,0.49181+0.49444i,0.64625-0.48323i,-0.48938+0.48453i,-0.64588+0.64604i,-0.63986-0.49443i,-0.63927-0.65025i,-0.64073+0.49331i,0.48986-0.48529i,0.6469-0.64877i,-0.49344-0.63791i,-0.64341+0.49218i,-0.63856+0.6496i,-0.64247+0.63885i,0.49442-0.49236i,-0.48174-0.64465i,-0.64769+0.49196i,-0.63931-0.48274i,-0.63567-0.64673i,0.49208-0.63837i,0.64547-0.64416i,-0.49496-0.63593i,0.48547+0.49271i,0.64534-0.48073i,0.6395+0.47986i,0.63968+0.64731i,-0.48573+0.63979i,-0.64316-0.48923i,-0.64036-0.64583i,-0.63893+0.4917i,-0.63987+0.64738i,-0.64043+0.63927i,-0.63821+0.6386i,-0.64004-0.49178i,-0.63747-0.64849i,0.4887-0.63938i,0.64538-0.64136i,-0.49635-0.64173i,-0.64778+0.49351i,-0.63356-0.48122i,0.49242-0.64911i,-0.48354-0.64377i,-0.65096+0.48747i,-0.64364-0.48659i,0.49184-0.64753i,0.64734+0.48743i,0.64029+0.64765i,0.63975-0.49194i,-0.49059+0.48491i,-0.64601-0.48581i,-0.63888-0.64515i,0.48894+0.4915i,0.64778+0.64348i,0.63777-0.49307i,0.64269-0.64556i,0.64032+0.49858i,-0.49319-0.48174i,0.48351-0.64309i,0.64874-0.64139i,0.64265+0.4912i,0.63907-0.48364i,0.64191-0.64617i,0.63964-0.64118i
243,0.75441-0.75564i,-0.14734-0.35867i,-0.7977+0.22424i,0.65617+0.28742i,-0.14813-0.72401i,0.21252-0.86678i,-0.72434+0.15553i,-0.3585-0.21411i,0.22334-0.79446i,0.79391-0.35583i,0.35536+0.72689i,-0.72988-0.14665i,-0.35963-0.79737i,0.21806-0.35503i,-0.71894-0.27859i,-0.86644+0.21974i,0.66499-0.72512i,0.86605+0.1474i,-0.15678+0.80228i,-0.29148+0.86114i,0.72501-0.1521i,-0.1441+0.21553i,-0.79629-0.72337i,-0.35697-0.86516i,-0.27776-0.8594i,-0.79134+0.15176i,0.15443-0.21496i,-0.71894-0.29205i,0.14469+0.73029i,-0.71643-0.65278i,-0.8677+0.65043i,0.66177-0.64696i,0.86781+0.14378i,-0.65534+0.28926i,-0.86885+0.28725i,0.66009+0.7905i,-0.65067+0.35304i,-0.36068+0.2803i,0.72675-0.72739i,-0.65432-0.35582i,-0.35999+0.7261i,0.22345-0.65357i,-0.21716-0.36248i,0.21288+0.22451i,0.29413+0.2905i,-0.72601+0.28647i,0.1476+0.28657i,0.79948+0.79078i,-0.15348-0.65648i,0.72006+0.14622i,-0.65301+0.79835i,0.14538-0.14872i,-0.21161+0.72149i,0.21801-0.64912i,0.29079-0.8669i,0.79039+0.65871i,-0.15254-0.14448i,-0.79917+0.21346i,-0.35471+0.79547i,-0.2826-0.65748i,0.21838+0.14265i,0.29339+0.29358i,-0.2191-0.22096i,-0.28712-0.79672i,-0.79052+0.65642i,-0.35131-0.64912i,-0.28344-0.8664i,-0.78646+0.66064i,0.15397+0.36101i,0.80347-0.72883i,0.86088+0.14743i,0.34957-0.21462i,0.28282-0.28676i,0.7956+0.72539i,-0.65506+0.35747i,0.14711-0.73013i,0.80161+0.15101i,-0.65571+0.2922i,-0.35777-0.72678i,-0.78613+0.14505i,0.1482-0.71799i,0.79631+0.65281i,0.35452+0.36478i,-0.22674-0.73286i,-0.79687+0.6503i,0.14973-0.64772i,0.801-0.3614i,-0.65333-0.28393i,0.14859+0.72337i,0.29462+0.86601i,-0.22014-0.65768i,0.72477+0.14084i,0.86535+0.7989i,0.85976-0.65655i,-0.65621+0.64443i,-0.86513-0.6464i,0.15253-0.86983i,0.79961-0.35273i,0.86038+0.72862i,-0.15146+0.35926i
