Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Label
1109,-0.56491-0.5642i,0.49178-0.64021i,-0.48383+0.4913i,-0.65105+0.64583i,-0.63752+0.63659i,0.49386+0.64519i,0.64753+0.63979i,0.63617-0.48705i,-0.48958-0.64276i,0.48128-0.64075i,0.64622+0.48798i,-0.49204+0.64623i,0.48324+0.64151i,0.649-0.4905i,-0.49179+0.48302i,-0.64609-0.4856i,0.49262+0.4859i,-0.48363+0.65288i,-0.64823-0.49265i,0.49069+0.4808i,0.64963+0.6458i,0.63608-0.49179i,-0.48461-0.64703i,0.48488+0.49496i,-0.48082-0.48502i,-0.65308-0.6452i,-0.63841+0.4919i,-0.6384+0.64828i,-0.6401-0.49212i,0.49124+0.48405i,-0.48559+0.64538i,-0.64738+0.63434i,0.49105-0.49676i,0.64406-0.64663i,-0.49145+0.49309i,0.48039-0.48521i,-0.48359+0.48661i,0.48066-0.48707i,0.64829-0.64355i,-0.49329+0.49261i,0.4886-0.48251i,0.64617+0.48084i,0.63726+0.64745i,-0.49483-0.49245i,-0.64688-0.64528i,-0.63813+0.49327i,-0.63883+0.64842i,-0.64192-0.49353i,-0.63964-0.64724i,-0.63907-0.63744i,0.49109-0.64205i,0.64486+0.49535i,0.64084-0.48341i,-0.4938-0.65062i,-0.65229+0.48908i,0.49308-0.4867i,0.64841-0.64684i,0.63895-0.63879i,-0.48777+0.49322i,-0.64261+0.64723i,-0.63746-0.49295i,0.49257+0.4827i,0.6446-0.4853i,0.63676+0.48i,0.63906-0.48253i,0.6385+0.47961i,-0.49006-0.47962i,0.48413+0.48614i,0.6477-0.48217i,-0.48953-0.64385i,-0.64137-0.63888i,0.48831-0.64251i,-0.48382-0.63608i,0.48201-0.63749i,-0.48583+0.49214i,-0.64846-0.48567i,0.4907-0.65044i,-0.48374-0.63724i,-0.64878-0.64202i,-0.63975-0.64251i,-0.63787+0.49128i,-0.63634+0.6458i,-0.6381+0.63962i,-0.64122+0.64183i,0.49276-0.48969i,0.64625+0.48544i,0.64112-0.48308i,0.64003-0.64757i,0.64115-0.63776i,0.64297+0.48998i,0.63717-0.49047i,0.6386-0.64777i,-0.49109-0.64168i,0.48387+0.49269i,-0.4842+0.64533i,-0.64938+0.6389i,-0.63557+0.64126i,0.49245-0.49512i,-0.48949+0.48205i,-0.64693+0.64507i,1
1110,0.62027+0.37003i,0.45414-0.81116i,-0.81852+0.49503i,0.74331-0.2798i,0.00060453+0.80626i,0.84303+0.73756i,0.98241+0.93933i,-0.25925-0.0065035i,-0.67282+0.34844i,-0.94653+0.17457i,-0.73024+0.38867i,0.04223-0.56126i,0.1445+0.77716i,0.87847+0.24804i,-0.25215-0.11664i,0.55704+0.10745i,-0.52757-0.10447i,0.7737-0.63457i,-0.25404+0.53193i,-0.9228+0.71045i,-0.98175+0.20646i,-0.97586+0.63134i,0.50498-0.040329i,-0.77092+0.103i,0.25008-0.35172i,0.17828+0.56245i,-0.11007-0.033059i,0.34899-0.88933i,0.17333-0.24159i,0.3826+0.85275i,-0.56736-0.74327i,0.52822+0.0033177i,0.70716+0.14419i,-0.28732-0.10596i,0.56289+0.6002i,0.20653+0.95517i,0.38302+0.9757i,0.66882+0.48378i,0.69767-0.81949i,0.94418+0.0025958i,0.48526+0.14947i,-0.57316+0.87631i,0.28451-0.24895i,-0.065387-0.92322i,-0.14247-0.9819i,-0.38507-0.48584i,-0.66919+0.076742i,-0.94225+0.63379i,0.50469+0.70253i,0.70597+0.20247i,-0.29238-0.85094i,0.067646-0.98208i,0.88574-0.23324i,0.98213+0.85169i,-0.75256-0.0040506i,0.49154-0.14745i,0.21424-0.88274i,0.38551+0.49697i,0.1691+0.70548i,0.87716-0.041069i,-0.49622-0.1433i,-0.71234+0.35589i,-0.94268+0.42339i,0.25611-0.81366i,-0.31345+0.2491i,-0.67057+0.18124i,0.28718+0.88159i,0.17832-0.0073979i,0.87852+0.3468i,0.73298+0.91704i,-0.045401-0.49973i,-0.88487-0.70846i,0.5013+0.043255i,-0.030917+0.14673i,0.34991-0.35318i,-0.06503-0.91531i,0.8463+0.25493i,-0.74637-0.55745i,-0.98636+0.52732i,-0.72741-0.032606i,-0.69975+0.59445i,0.042398-0.5344i,0.88672+0.03422i,0.73454-0.8462i,0.44986+0.49736i,-0.32433-0.77541i,0.81042-0.24415i,0.73927-0.37794i,-0.29441-0.91493i,0.56363-0.73593i,-0.28353+0.53565i,-0.42246-0.77515i,-0.41623+0.2433i,0.32179-0.56206i,-0.07147-0.94825i,0.34787-0.23686i,0.67114-0.62727i,-0.04239+0.78053i,-0.38937-0.74303i,0.31759-0.24674i,3
1111,-0.37038-0.36942i,-0.42238+0.56566i,0.32315+0.70848i,0.91443+0.20701i,0.23562+0.37989i,-0.85068+0.66574i,0.49785+0.45008i,-0.030799-0.07999i,0.84499-0.38944i,-0.7421+0.3175i,0.492+0.91703i,0.70853+0.73938i,0.45246+0.45072i,0.17055-0.56869i,-0.85246+0.77634i,-0.98784+0.74028i,0.75137+0.94237i,-0.73767-0.011987i,-0.98513+0.59885i,-0.486+0.4567i,0.57343-0.57251i,0.4589+0.53106i,0.91277-0.777i,-0.0095257+0.74309i,-0.88848+0.98762i,-0.23915+0.9755i,0.85368+0.23837i,-0.74675+0.87606i,-0.99126+0.48836i,0.75375+0.90637i,-0.24636+0.24133i,-0.67159+0.87263i,-0.6988+0.73386i,-0.44544+0.20379i,0.079579-0.11229i,0.14491+0.84836i,-0.35662-0.0035215i,-0.42537+0.10062i,-0.17343-0.60049i,-0.87796+0.78027i,0.49847-0.74011i,-0.03537-0.74616i,0.34763-0.94142i,0.91556-0.97985i,-0.0037721-0.47967i,-0.64015+0.57195i,0.041058+0.46015i,-0.10115+0.17037i,-0.38892-0.11092i,-0.66848+0.10656i,0.53829+0.63644i,-0.033327-0.039651i,0.10168-0.88051i,-0.60316-0.4887i,0.28765-0.16487i,0.17847-0.13814i,-0.60548-0.63401i,0.77649-0.70151i,-0.74268+0.29055i,-0.49401+0.92077i,-0.16815+0.98235i,0.60494+0.48616i,0.20713+0.41423i,0.62831-0.56678i,-0.52942+0.2866i,-0.46017-0.81033i,-0.6646-0.73933i,0.53635-0.20286i,0.45542-0.88012i,0.41583+0.49871i,0.17469-0.77656i,-0.84552+0.74268i,0.0071481+0.002276i,-0.59286+0.83844i,-0.95258-0.49753i,-0.73317+0.28431i,-0.44976+0.17795i,-0.66296+0.87252i,0.53951+0.73776i,0.21247+0.94364i,-0.11084+0.23806i,0.10878-0.85391i,-0.60065+0.0092842i,0.77612+0.3958i,-0.25088-0.070223i,0.063433-0.63692i,-0.34765-0.94649i,-0.42309-0.48391i,-0.90971+0.5756i,0.25692+0.21054i,0.67594+0.63166i,0.94628-0.5343i,-0.25894+0.77135i,0.31707-0.73772i,0.91853+0.24488i,-0.74345+0.18223i,0.24897-0.60404i,0.42764+0.043455i,0.41617+0.14336i,-0.31781+0.88196i,3
1112,-0.25459+0.25496i,0.72219-0.22206i,-0.14698-0.29039i,0.71889-0.28815i,0.35901-0.79158i,-0.22182-0.35865i,0.21759-0.28412i,-0.71962+0.72926i,0.65475+0.35555i,-0.14317+0.27965i,-0.79814+0.28686i,0.15095-0.21928i,0.29357+0.21812i,0.79504+0.2877i,-0.15004-0.73086i,0.71422-0.36012i,0.86557+0.21891i,-0.66012+0.79638i,-0.8688+0.35632i,0.65883-0.72542i,-0.14219-0.36162i,0.2156+0.72527i,-0.72106-0.65295i,-0.86741-0.87149i,0.65986-0.85784i,-0.64679+0.65778i,0.64771-0.14493i,0.36138+0.21571i,-0.22559-0.72503i,-0.79641+0.1502i,-0.35452+0.29254i,-0.78453+0.28618i,0.15106+0.28745i,0.29423-0.22052i,0.28497-0.28613i,-0.21797+0.7295i,-0.79768+0.35675i,-0.86316-0.73075i,0.66206-0.36137i,0.86722-0.29107i,-0.15202-0.79352i,0.7179-0.86111i,0.36276-0.35342i,-0.73064-0.79358i,-0.3578+0.15594i,-0.79062-0.21177i,-0.86304+0.21406i,0.15276+0.79609i,-0.21302+0.86124i,0.71936+0.35194i,-0.65015+0.28169i,0.14174+0.28343i,-0.21446+0.79577i,-0.29211+0.35424i,-0.78934+0.79407i,-0.35597+0.35421i,0.72811+0.78658i,0.86489-0.14849i,0.86252-0.29664i,-0.15172-0.79267i,0.72034+0.14743i,0.86876+0.29557i,0.35514+0.7909i,0.28461-0.14946i,-0.21753-0.2876i,0.72478-0.28254i,-0.6564-0.2842i,-0.86617-0.79533i,-0.85769-0.86395i,-0.34847-0.86405i,0.22149-0.35334i,-0.21511-0.79033i,-0.28737-0.35453i,0.7243-0.2828i,-0.65169+0.72i,-0.3666-0.65702i,-0.28305-0.86793i,0.22034+0.65727i,-0.21532-0.64875i,-0.28755+0.64627i,-0.79009-0.14154i,-0.35468+0.21593i,-0.27888-0.21616i,-0.78782+0.72264i,0.15526-0.65588i,0.29227+0.64993i,-0.72767+0.8709i,0.145+0.3575i,-0.72222-0.22165i,-0.86679+0.7235i,0.65663+0.36096i,-0.14439-0.72827i,0.71866+0.14528i,0.35979+0.29533i,-0.73013+0.28593i,-0.35949+0.29022i,-0.78761-0.72732i,-0.86165+0.14487i,0.15156+0.79671i,0.8024+0.35578i,2
1113,-0.75709-0.75952i,-0.85982+0.14869i,-0.8589+0.2902i,-0.35225+0.28652i,0.72799+0.29i,-0.65157+0.7945i,-0.86867+0.35591i,-0.35053+0.28581i,0.22659-0.72162i,0.28944-0.86348i,0.79148+0.65925i,-0.14918-0.14369i,0.21605-0.79614i,0.2918+0.65517i,0.79132+0.36177i,0.86142+0.78653i,-0.15643+0.35535i,-0.80042+0.28482i,0.65999-0.72998i,-0.14348+0.14655i,-0.2952+0.29417i,-0.2876-0.72204i,-0.79161-0.35728i,-0.35675+0.22156i,0.22448-0.7227i,-0.71975+0.65409i,-0.86608-0.14512i,-0.34709+0.71975i,0.72974-0.14277i,-0.65311-0.80034i,0.64872+0.65304i,-0.1423+0.86771i,-0.29062+0.35444i,-0.79123-0.22198i,0.1473+0.21917i,-0.21535-0.72018i,0.21785+0.65021i,0.79648+0.3641i,0.35139+0.78782i,-0.22286-0.14534i,0.72316+0.71814i,0.36003-0.64935i,-0.72897-0.36264i,-0.86398-0.28395i,-0.85836-0.78977i,-0.86092+0.14805i,0.65725-0.2145i,0.35989+0.72214i,-0.22281+0.35481i,-0.7941-0.22063i,-0.35566-0.28638i,-0.28135-0.28423i,-0.79336+0.22056i,0.65437-0.72451i,-0.65053+0.14746i,-0.87131-0.21314i,0.65665-0.79599i,-0.14378-0.35119i,0.21845-0.79069i,0.28509-0.354i,0.28923-0.78845i,0.79212-0.35488i,0.3543+0.72781i,0.7877-0.15008i,0.86107-0.29556i,0.85954+0.72807i,0.35042+0.86583i,-0.72744-0.6599i,-0.86418+0.65121i,0.15207+0.86907i,0.2908+0.85433i,-0.72742+0.35356i,0.14827-0.73137i,0.79536+0.6524i,0.35762+0.36635i,0.28014+0.78669i,-0.73142-0.15291i,0.65548-0.29303i,-0.65103+0.21887i,-0.86886+0.79546i,0.1596+0.35653i,0.80006+0.28273i,-0.14967+0.2883i,-0.29317+0.28953i,-0.28568+0.78909i,-0.28582-0.65656i,0.21893+0.64902i,-0.21816-0.64928i,0.72145+0.65199i,-0.14915-0.14034i,-0.29514+0.20702i,0.22304+0.79285i,-0.21857-0.15405i,-0.28598-0.28779i,0.72978+0.72699i,0.36065-0.65117i,-0.22336+0.64818i,-0.79315+0.36396i,-0.35838-0.72826i,-0.27928-0.35723i,2
1114,0.56649-0.56383i,0.64371-0.64197i,-0.48953-0.64133i,-0.6525+0.49725i,0.49114+0.64827i,0.64801-0.49522i,0.63779+0.48764i,0.64018+0.64759i,-0.49287-0.49396i,0.48302-0.64704i,0.64381-0.64202i,-0.49316+0.4903i,-0.64725+0.64735i,0.49516-0.49111i,-0.48194-0.64552i,-0.64798-0.63982i,-0.63982-0.63829i,-0.64268+0.48896i,-0.63884+0.64709i,0.49663+0.64345i,0.64744-0.48941i,-0.49368-0.64852i,-0.6465-0.64052i,-0.63925+0.49379i,0.49184+0.64568i,0.64616-0.4903i,0.63666+0.48312i,0.64297-0.48051i,0.63772+0.48051i,0.63651+0.64521i,0.63963-0.49675i,-0.48814+0.48218i,-0.64623-0.48169i,0.49268+0.48524i,0.65412-0.48386i,0.64196-0.64907i,-0.48831+0.49541i,0.47938-0.48335i,0.64753+0.48617i,0.63928+0.64816i,-0.49125-0.49614i,-0.64498+0.47629i,0.4915-0.4823i,-0.48085-0.65058i,0.48714-0.63804i,0.64541+0.49155i,0.64218+0.64474i,-0.49138-0.4953i,0.48289+0.48377i,0.6491-0.48496i,0.64107-0.64786i,0.64029-0.64194i,-0.49478+0.49306i,0.48023-0.48494i,0.64749-0.64848i,-0.49324-0.63571i,-0.64828-0.64522i,0.49063+0.48836i,0.64889+0.64504i,0.63981+0.63453i,-0.4921-0.49141i,0.48468+0.48398i,-0.48274-0.48736i,0.48176+0.48469i,0.64704-0.4842i,0.639+0.48316i,-0.49577-0.48249i,0.48477+0.48399i,0.64302-0.48293i,-0.49504+0.48221i,-0.64718+0.64961i,0.4918+0.63809i,0.64684-0.49208i,0.64111+0.48878i,-0.49307+0.64764i,-0.64799-0.49279i,0.48674-0.64835i,-0.48498+0.49498i,0.48489+0.64785i,0.64787-0.49207i,-0.49159+0.48687i,0.48689+0.6465i,0.64718+0.6341i,0.63989+0.64077i,-0.4913-0.48986i,0.48452+0.4834i,-0.48403-0.489i,0.48513-0.64808i,-0.48317+0.49453i,0.48226+0.6482i,-0.48243-0.49442i,-0.64993+0.48454i,0.48824-0.48445i,-0.48347-0.65058i,-0.64676-0.63943i,0.49397-0.63719i,0.64434+0.49399i,0.64383+0.6469i,-0.49237+0.63804i,0.48427+0.63986i,1
1115,0.56377-0.56612i,-0.4857-0.64485i,-0.64907+0.49373i,0.49263-0.48589i,-0.48503+0.48246i,0.48095-0.48856i,-0.48505+0.48527i,0.48437-0.48579i,-0.47996+0.48293i,0.4871-0.48342i,-0.48493-0.6469i,-0.64925+0.49338i,-0.63995-0.48553i,-0.64438+0.48428i,0.49784-0.48443i,0.64593-0.64979i,0.63889+0.48814i,0.63979-0.4853i,-0.49619-0.64682i,-0.64905+0.4899i,0.49354+0.64797i,0.6455-0.49373i,-0.49222+0.48462i,-0.64647+0.65069i,-0.64085-0.49369i,0.49319+0.48721i,-0.48141+0.64838i,0.48457-0.49326i,0.64608-0.64783i,-0.4936-0.64153i,0.48596-0.64231i,-0.48599-0.63849i,-0.65171-0.63971i,-0.63939-0.64071i,-0.64142+0.49324i,0.49089+0.64647i,0.64504-0.49401i,-0.49372+0.48926i,-0.64894+0.64769i,0.48703-0.49036i,0.64968+0.48525i,-0.49071-0.48693i,-0.64339-0.6486i,0.49343-0.64271i,0.64594+0.49135i,-0.49552-0.48518i,-0.64713-0.64726i,-0.63858-0.64425i,-0.64203+0.49064i,-0.64136+0.64878i,0.49024-0.49074i,-0.48761-0.64734i,0.48593+0.49331i,-0.47979+0.64987i,0.483-0.49306i,-0.48253+0.48506i,-0.64778+0.65072i,-0.63782-0.49497i,0.48952-0.64911i,0.64282-0.64078i,-0.492-0.6395i,0.48325-0.63805i,-0.48385+0.49125i,0.48499+0.64736i,0.64687-0.49062i,0.64026+0.48581i,0.6384+0.64502i,0.64195+0.63898i,0.64068-0.48709i,0.64339+0.48406i,0.64106+0.64155i,-0.49092+0.63646i,-0.64953+0.64131i,0.49261-0.49106i,0.64866+0.4811i,0.63713+0.64885i,-0.49298-0.49222i,-0.64939+0.48207i,0.49116+0.64567i,0.64689+0.63907i,0.64182+0.64043i,0.64202-0.49109i,-0.48864+0.48326i,-0.64877+0.64843i,0.49183+0.63917i,0.64477+0.63993i,-0.49352-0.49596i,0.48451+0.482i,0.64907-0.48538i,-0.49595+0.48405i,-0.64551+0.6501i,-0.64034+0.63355i,-0.63956-0.4912i,0.49188-0.64676i,-0.48453-0.63645i,-0.64891+0.49109i,0.49198-0.48474i,-0.48309+0.48555i,0.48222-0.48293i,-0.48263-0.6504i,1
1116,-0.25173-0.25404i,0.72301+0.21664i,0.86397-0.21351i,0.35069-0.79568i,0.78735+0.14496i,0.35534-0.21511i,0.28055+0.21564i,-0.72495-0.72488i,-0.35707-0.86669i,0.23118+0.15499i,-0.72427+0.29466i,-0.35947-0.72654i,0.22051+0.1479i,-0.21927-0.71794i,0.72177-0.3638i,-0.6525+0.22299i,-0.36667-0.21717i,-0.79022-0.28897i,0.14979+0.2222i,0.79898+0.29284i,-0.14936-0.72291i,0.71533+0.14969i,-0.65161-0.21394i,-0.36438+0.72098i,-0.78982+0.361i,0.65443+0.78933i,0.37104+0.86516i,0.78811+0.85303i,0.85841+0.35482i,-0.15696+0.28253i,0.71847-0.21562i,-0.14962+0.72324i,-0.29326-0.14545i,0.21559-0.292i,0.79604-0.79258i,-0.14795-0.35386i,-0.80159+0.22166i,-0.86087-0.21437i,-0.35063+0.7209i,-0.28409+0.86994i,-0.28756+0.8561i,0.72747+0.85886i,-0.65502-0.65975i,-0.36279+0.64938i,0.22554+0.36226i,0.79535-0.22613i,0.86068-0.79324i,-0.15718-0.35897i,-0.29312+0.22444i,0.72517-0.21406i,0.36029-0.29001i,0.28331-0.2854i,-0.21831-0.79337i,-0.79315-0.35414i,0.65753-0.78997i,0.86868-0.86377i,0.85665-0.34914i,-0.15395-0.78862i,0.72144-0.35717i,0.36003+0.2234i,0.78836-0.72422i,-0.14826+0.6526i,0.71753-0.14381i,0.86018-0.28897i,-0.15543+0.22482i,-0.79842+0.79853i,-0.85949-0.15017i,0.15196+0.20995i,-0.21338+0.28965i,-0.79637-0.72421i,-0.36039-0.36268i,0.2261+0.72948i,0.79678+0.35672i,-0.65439-0.72707i,-0.36105-0.86223i,0.22653+0.1552i,-0.21329-0.21112i,-0.79567-0.78945i,-0.85821+0.15013i,0.66079-0.21255i,0.87017-0.29126i,0.35203-0.78962i,-0.22099-0.86261i,-0.29567-0.85655i,0.21823-0.85993i,0.79476-0.85997i,0.3538-0.85808i,-0.22403-0.3514i,0.72308+0.22371i,0.3579-0.72472i,-0.22364-0.86664i,0.21527+0.66092i,0.29518-0.14188i,-0.22081+0.21627i,-0.79608-0.72226i,-0.35477+0.14682i,0.72813+0.29361i,-0.65401-0.72665i,-0.36265+0.65565i,0.73247+0.8703i,2
1117,0.61682-0.86634i,-0.78179-0.98067i,0.00091248+0.75367i,0.64061-0.73614i,-0.78481+0.74032i,-0.98866+0.74715i,0.75039-0.046694i,-0.49214+0.10235i,-0.4609-0.34986i,0.5726-0.42196i,0.70373+0.077729i,0.2045-0.34637i,0.87551-0.91319i,-0.49668-0.23831i,-0.70931-0.3829i,-0.69941+0.31851i,-0.20503-0.81317i,-0.13732+0.74163i,-0.87832-0.0012585i,-0.24414+0.842i,-0.631-0.0042335i,0.28576+0.34888i,-0.56068+0.66599i,-0.95221-0.77947i,-0.23705-0.49396i,0.35924+0.81697i,-0.071411-0.49527i,-0.8814+0.032382i,-0.48891-0.34817i,0.81841+0.56379i,-0.0016375+0.21373i,-0.14482-0.36033i,0.59941-0.67148i,-0.53219-0.20581i,0.27763+0.35657i,0.17827-0.070622i,0.63128+0.59573i,0.45355+0.20975i,0.91066-0.10919i,-0.010973-0.88681i,-0.39047+0.0052561i,-0.1726-0.8425i,-0.87918+0.0074257i,-0.48853+0.39345i,-0.41652-0.32261i,-0.6664-0.179i,0.28869+0.85467i,-0.31316-0.74539i,-0.91826-0.00014106i,-0.73432-0.84043i,0.78529+0.49991i,-0.49589-0.27855i,0.28465-0.42815i,-0.80866-0.42062i,-0.24202+0.56786i,0.11142-0.52696i,0.63226-0.21065i,0.94824-0.62554i,-0.25137+0.53357i,-0.42924+0.20735i,-0.16815+0.62734i,-0.88014+0.20423i,0.0047846+0.38518i,0.39568+0.4199i,-0.32202-0.81661i,-0.66732+0.0036728i,0.28764-0.097735i,0.42979-0.88575i,-0.077887-0.98388i,-0.63709+0.25931i,0.78161-0.31476i,0.24866+0.81516i,0.87848+0.24395i,-0.49211+0.63047i,0.52799-0.2886i,0.95343-0.4253i,-0.50074-0.66224i,0.77468-0.69602i,0.24387+0.29011i,0.38376-0.56072i,0.66607+0.035007i,-0.53328+0.63865i,0.031387-0.041045i,-0.098736-0.88019i,0.59884-0.98357i,0.20861+0.011836i,0.3836-0.59668i,0.91733+0.53356i,-0.0056252+0.70367i,-0.63934-0.53466i,-0.70246-0.95121i,0.042655-0.48269i,-0.10377-0.66472i,-0.13867-0.70168i,-0.13857+0.044863i,0.35341+0.63593i,0.17515+0.20737i,-0.35939-0.85015i,-0.66759+0.49835i,0.53153-0.77434i,3
1118,-0.76104+0.76013i,0.1495-0.15175i,-0.21363+0.72015i,-0.80072-0.14922i,0.15196-0.29415i,0.29283+0.21752i,-0.21587+0.29063i,-0.79677+0.28706i,0.15597-0.21755i,-0.7186-0.2867i,-0.86914-0.28683i,0.66275+0.21853i,0.35879+0.29071i,-0.22333-0.22057i,0.72383-0.28714i,-0.65525+0.22303i,-0.35793-0.72098i,-0.28187+0.64922i,0.21722+0.36646i,0.28887-0.2243i,-0.72936-0.79831i,0.65229+0.65415i,0.86544-0.64659i,0.35036+0.14107i,0.28378+0.80013i,-0.72496+0.3549i,-0.86833-0.72689i,-0.35111-0.3578i,-0.78668+0.72784i,-0.35556-0.14693i,0.73382-0.29345i,0.86804-0.2879i,0.85885+0.21831i,0.35557+0.28653i,-0.22032+0.78811i,0.21561+0.85889i,0.29001+0.86115i,0.28722-0.15278i,-0.72619+0.20939i,-0.86524-0.21654i,0.15142-0.28964i,0.2938-0.28523i,-0.22033-0.28406i,0.71929+0.7236i,0.86954-0.14881i,-0.15367-0.29486i,-0.7948+0.72398i,0.65602-0.6539i,-0.13866-0.36212i,-0.2898+0.73359i,-0.28619+0.86578i,0.22271-0.6606i,0.79257+0.64937i,-0.14904-0.14172i,-0.29361+0.7199i,0.72856+0.86978i,-0.14953-0.15335i,0.72062-0.2927i,-0.1489+0.21862i,0.21324+0.79541i,0.79518-0.65772i,-0.14785+0.14493i,0.7202+0.80001i,0.86721+0.86383i,0.85462+0.35296i,-0.15529+0.78877i,0.72189+0.35761i,0.86493+0.78854i,-0.65839-0.14995i,0.14254-0.2906i,-0.71811+0.72602i,0.14484-0.65089i,0.79742+0.64901i,0.35703+0.36109i,-0.72829-0.22114i,0.14595-0.79553i,0.79843+0.65801i,0.35513+0.86676i,0.78553+0.3507i,0.35786+0.28041i,0.28618-0.22133i,0.2849-0.28844i,0.28679-0.28585i,-0.21941-0.28842i,-0.28971-0.28175i,-0.28187+0.72609i,0.72659+0.86332i,-0.65074+0.86133i,0.14555+0.85691i,0.79762+0.85635i,-0.15099+0.85686i,0.21335+0.35528i,-0.72196-0.72678i,-0.35986+0.65266i,-0.78823-0.64929i,-0.3563-0.86902i,0.72662+0.15131i,-0.14785-0.21133i,-0.79594+0.72107i,0.15262-0.65241i,2
1119,0.56337+0.56995i,0.64541+0.64219i,-0.49125-0.48936i,-0.64431-0.65029i,-0.63546+0.49234i,-0.64167+0.6456i,0.49354-0.49678i,0.65045+0.48658i,-0.49224+0.64724i,-0.64611+0.63938i,-0.63732-0.49119i,-0.63576+0.48345i,0.4919-0.48797i,0.64612+0.48174i,-0.49319+0.64953i,0.48372+0.63914i,-0.48242+0.64107i,-0.64704+0.64364i,0.49147-0.49133i,-0.48451+0.48317i,-0.64781-0.4855i,-0.63856-0.64867i,-0.64266+0.48962i,-0.64004-0.48119i,0.48898+0.48264i,0.64792+0.65091i,-0.49198-0.49268i,0.48364+0.48651i,-0.48246+0.6499i,-0.64613+0.63597i,-0.63804+0.63952i,0.4918+0.64114i,0.64585+0.6407i,-0.4915-0.49183i,0.4831-0.64598i,-0.48154+0.494i,0.48079-0.48444i,-0.4856+0.48869i,-0.64497+0.64486i,0.49061-0.49327i,0.64587-0.64508i,0.63908-0.64039i,-0.4907-0.6395i,-0.64955-0.64196i,0.49156+0.49416i,0.64567+0.64598i,0.63637+0.63539i,0.64086+0.6387i,-0.49121+0.63931i,-0.64772+0.64294i,-0.63919-0.49198i,-0.6373+0.48212i,-0.64112-0.48192i,0.4955+0.48588i,0.64892-0.4853i,0.63956+0.48391i,0.64074+0.64821i,-0.49039+0.64083i,-0.64575-0.48989i,-0.64189-0.64529i,0.4922-0.63384i,-0.4813+0.48847i,0.48783+0.64392i,-0.48292+0.63467i,-0.64821-0.49361i,-0.63801-0.6464i,-0.6355+0.49144i,-0.63913+0.64728i,0.49149-0.49213i,0.64866+0.48391i,-0.48946-0.48253i,0.48367+0.4821i,0.64579+0.64861i,0.63981-0.4937i,0.63947-0.648i,0.64227-0.63721i,0.64376-0.63758i,-0.48804-0.64106i,-0.64348-0.63742i,-0.6374+0.493i,0.49557-0.48777i,-0.48431-0.64529i,-0.64719+0.49374i,0.49061+0.64353i,0.64773-0.49221i,0.63963-0.64578i,0.63866-0.64296i,-0.49172-0.63821i,-0.64943+0.49141i,-0.63684+0.64689i,-0.63756-0.49345i,0.49138-0.64473i,0.64358-0.64044i,0.63873-0.64023i,0.63758-0.63971i,-0.49145-0.64024i,0.48379-0.63789i,-0.48382-0.63904i,0.48619-0.64277i,-0.4834+0.48979i,1
